Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1155381/350468    3.349    0.000    3.350    0.000 hexboard.py:62(traverse)
   249455    0.667    0.000    4.017    0.000 hexboard.py:89(check_win)
   539051    0.599    0.000    0.967    0.000 mcts.py:135(<lambda>)
42162/10000    0.369    0.000    0.369    0.000 mcts.py:104(backpropagate)
    10000    0.321    0.000    5.661    0.001 mcts.py:90(simulate)
      509    0.284    0.001    0.326    0.001 <frozen importlib._bootstrap_external>:914(get_data)
   207838    0.279    0.000    0.403    0.000 random.py:224(_randbelow)
   352666    0.274    0.000    0.368    0.000 selection_rules.py:19(uct_score)
   230651    0.264    0.000    4.377    0.000 hexboard.py:81(get_winner)
    22561    0.197    0.000    1.164    0.000 {built-in method builtins.max}
    10000    0.187    0.000    0.593    0.000 random.py:264(shuffle)
     2491    0.174    0.000    0.174    0.000 {built-in method nt.stat}
   178488    0.119    0.000    0.119    0.000 hexboard.py:37(place)
      495    0.114    0.000    0.114    0.000 {built-in method marshal.loads}
    20001    0.109    0.000    0.109    0.000 hexboard.py:111(<listcomp>)
    20002    0.109    0.000    0.109    0.000 hexboard.py:23(<dictcomp>)
    20001    0.102    0.000    0.102    0.000 hexboard.py:51(<dictcomp>)
   128487    0.096    0.000    0.096    0.000 hexboard.py:104(check_draw)
   352667    0.094    0.000    0.094    0.000 {built-in method math.sqrt}
   326280    0.093    0.000    0.093    0.000 {method 'getrandbits' of '_random.Random' objects}
       71    0.091    0.001    0.095    0.001 {built-in method _imp.create_dynamic}
    10000    0.076    0.000    1.716    0.000 mcts.py:54(select_and_expand)
    20002    0.067    0.000    0.182    0.000 hexboard.py:13(__init__)
    20001    0.063    0.000    0.350    0.000 hexboard.py:48(copy)
     2467    0.057    0.000    0.097    0.000 inspect.py:613(cleandoc)
    22162    0.053    0.000    1.242    0.000 mcts.py:129(best_child)
   182393    0.047    0.000    0.047    0.000 {method 'pop' of 'list' objects}
      509    0.042    0.000    0.042    0.000 {method 'read' of '_io.FileIO' objects}
1608/1512    0.041    0.000    0.206    0.000 {built-in method builtins.__build_class__}
    10000    0.036    0.000    0.352    0.000 mcts.py:83(expand)
    20001    0.036    0.000    0.158    0.000 hexboard.py:108(get_possible_moves)
      369    0.033    0.000    0.033    0.000 {built-in method builtins.compile}
     1478    0.032    0.000    0.032    0.000 {method 'sub' of 're.Pattern' objects}
   207848    0.031    0.000    0.031    0.000 {method 'bit_length' of 'int' objects}
    71/48    0.029    0.000    0.119    0.002 {built-in method _imp.exec_dynamic}
    10000    0.028    0.000    7.773    0.001 mcts.py:49(run_iteration)
    32162    0.023    0.000    0.031    0.000 mcts.py:80(is_fully_expanded)
      815    0.023    0.000    0.023    0.000 {method 'findall' of 're.Pattern' objects}
    10001    0.022    0.000    0.103    0.000 mcts.py:67(__init__)
108894/107860    0.022    0.000    0.023    0.000 {built-in method builtins.len}
        1    0.021    0.021    0.021    0.021 {built-in method nt.system}
     1057    0.018    0.000    0.191    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
