         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    0.161    0.001    0.183    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     1564    0.102    0.000    0.102    0.000 {built-in method nt.stat}
      306    0.058    0.000    0.058    0.000 {built-in method marshal.loads}
       55    0.050    0.001    0.054    0.001 {built-in method _imp.create_dynamic}
      344    0.029    0.000    0.029    0.000 {built-in method builtins.compile}
      308    0.022    0.000    0.022    0.000 {method 'read' of '_io.FileIO' objects}
  687/681    0.017    0.000    0.052    0.000 {built-in method builtins.__build_class__}
    55/32    0.017    0.000    0.096    0.003 {built-in method _imp.exec_dynamic}
      988    0.015    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
      745    0.011    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      380    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:318(__exit__)
      507    0.009    0.000    0.009    0.000 {method 'findall' of 're.Pattern' objects}
       48    0.006    0.000    0.006    0.000 {built-in method nt.listdir}
      307    0.006    0.000    0.284    0.001 <frozen importlib._bootstrap_external>:793(get_code)
    398/5    0.006    0.000    0.756    0.151 <frozen importlib._bootstrap>:978(_find_and_load)
     5288    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
       48    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
   170/55    0.005    0.000    0.013    0.000 sre_parse.py:475(_parse)
     3563    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      392    0.005    0.000    0.144    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     7040    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
     3563    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
    650/1    0.004    0.000    0.756    0.756 {built-in method builtins.exec}
      947    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      614    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      799    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
    13068    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
      507    0.003    0.000    0.031    0.000 textwrap.py:414(dedent)
      947    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      374    0.003    0.000    0.135    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
    381/7    0.003    0.000    0.753    0.108 <frozen importlib._bootstrap>:663(_load_unlocked)
