         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    52/23    0.177    0.003    0.253    0.011 {built-in method _imp.create_dynamic}
      574    0.073    0.000    0.073    0.000 {built-in method marshal.loads}
1896/1809    0.027    0.000    0.089    0.000 {built-in method builtins.__build_class__}
     2573    0.023    0.000    0.041    0.000 inspect.py:613(cleandoc)
      319    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
        2    0.014    0.007    0.014    0.007 {built-in method _ctypes.dlopen}
      414    0.013    0.000    0.014    0.000 sre_compile.py:276(_optimize_charset)
 1597/455    0.012    0.000    0.013    0.000 sre_parse.py:174(getwidth)
  786/224    0.011    0.000    0.038    0.000 sre_parse.py:469(_parse)
        1    0.010    0.010    0.013    0.013 {built-in method torch._C._jit_script_compile}
     2664    0.009    0.000    0.009    0.000 {built-in method posix.stat}
     1045    0.007    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    40117    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
69740/68262    0.006    0.000    0.006    0.000 {built-in method builtins.len}
 1363/213    0.006    0.000    0.021    0.000 sre_compile.py:71(_compile)
      578    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    17265    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    22860    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      578    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      646    0.005    0.000    0.013    0.000 inspect.py:2117(_signature_from_function)
    939/1    0.004    0.000    0.713    0.713 {built-in method builtins.exec}
      576    0.004    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     5726    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
    29355    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     9587    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     7994    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
      672    0.004    0.000    0.043    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     5726    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     8897    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
     5237    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.003    0.003    0.007    0.007 {built-in method torch._C._initExtension}
     1152    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
10430/10426    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
  711/655    0.003    0.000    0.018    0.000 inspect.py:2198(_signature_from_callable)
     2369    0.003    0.000    0.077    0.000 re.py:271(_compile)
     1534    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    26317    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    20995    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     1928    0.003    0.000    0.005    0.000 inspect.py:2467(__init__)
    688/3    0.003    0.000    0.712    0.237 <frozen importlib._bootstrap>:978(_find_and_load)
       25    0.003    0.000    0.005    0.000 enum.py:135(__new__)
     1534    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      758    0.002    0.000    0.003    0.000 inspect.py:2750(__init__)
      637    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1534    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      762    0.002    0.000    0.004    0.000 functools.py:37(update_wrapper)
    638/4    0.002    0.000    0.712    0.178 <frozen importlib._bootstrap>:663(_load_unlocked)
    683/3    0.002    0.000    0.712    0.237 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       27    0.002    0.000    0.013    0.000 __init__.py:904(_rc_params_in_file)
    10740    0.002    0.000    0.003    0.000 mathtext.py:2823(<genexpr>)
  668/667    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      930    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     2325    0.002    0.000    0.037    0.000 inspect.py:594(getdoc)
       45    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
     2338    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x5586091f3240}
     6423    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
     1620    0.002    0.000    0.006    0.000 {built-in method builtins.any}
     6010    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       32    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      371    0.002    0.000    0.005    0.000 colors.py:193(_to_rgba_no_colorcycle)
2261/1127    0.002    0.000    0.274    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       12    0.002    0.000    0.025    0.002 artist.py:1314(_get_setters_and_targets)
  555/213    0.002    0.000    0.039    0.000 sre_parse.py:411(_parse_sub)
       73    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
